Marble launched,12345
Marble detected,2452356
Marble launched,12345
Marble detected,2452356
Marble launched,12345
Marble detected,2452356
Marble launched,12345
Marble detected,2452356
Marble launched,12345
Marble detected,2452356
1420326865.460437,Marble launched,12345
Marble detected,2452356
2015-01-03 23:19:41,Marble launched,12345
2015-01-03 23:19:41,Marble detected,2452356
2015-01-03 23:20:46.270124,Marble launched,12345
2015-01-03 23:20:46.270256,Marble detected,2452356
2015-01-04 21:18:08.109567,App Started
2015-01-04 21:18:08.961742,App Started
2015-01-04 21:20:16.893009,App Started
2015-01-04 21:20:46.592948,App Started
2015-01-04 21:22:57.097250,App Started
2015-01-04 21:23:01.341495,App Started
2015-01-04 21:23:29.811771,App Started
2015-01-04 21:25:06.950089,App Started
2015-01-04 21:25:12.211247,Marble launched,Single,1,1
2015-01-04 21:25:49.562880,App Started
2015-01-04 21:25:56.471348,Marble launched,Single,1,1
2015-01-04 21:29:16.926012,App Started
2015-01-04 21:30:32.925204,App Started
2015-01-04 21:31:11.514215,App Started
2015-01-04 21:31:26.861172,App Started
2015-01-04 21:33:14.157432,Marble launched,Single,1,1
2015-01-04 21:33:51.815121,App Started
2015-01-04 21:33:57.793651,Marble launched,Single,1,1
2015-01-04 21:36:22.281547,Marble launched,Single,1,1
2015-01-04 21:36:32.760059,App Started
2015-01-04 21:36:34.939171,Marble launched,Single,1,1
2015-01-04 21:38:03.877352,App Started
2015-01-04 21:38:06.623385,Marble launched,Single,1,1
2015-01-04 21:38:36.399359,App Started
2015-01-04 21:38:39.485411,Marble launched,Single,1,1
2015-01-04 21:39:34.163005,App Started
2015-01-04 21:40:56.160089,App Started
2015-01-04 21:41:04.452729,App Started
2015-01-04 21:41:12.433315,Marble launched,Single,1,1
2015-01-04 21:49:29.305049,App Started
2015-01-04 21:49:33.390363,Marble launched,Single,1,1
2015-01-04 21:50:16.563674,App Started
2015-01-04 21:50:17.123020,Marble launched,Single,1,1
2015-01-04 21:53:55.847609,Marble launched,Single,1,1
2015-01-04 21:54:55.160621,Marble launched,Single,1,1
2015-01-04 21:55:01.190931,App Started
2015-01-04 21:55:04.244541,Marble Launched,1,10
2015-01-04 21:55:05.928327,Marble Launched,2,10
2015-01-04 21:55:07.633024,Marble Launched,3,10
2015-01-04 21:55:09.316255,Marble Launched,4,10
2015-01-04 21:55:11.000054,Marble Launched,5,10
2015-01-04 21:55:12.679650,Marble Launched,6,10
2015-01-04 21:55:14.363951,Marble Launched,7,10
2015-01-04 21:55:16.040810,Marble Launched,8,10
2015-01-04 21:55:17.723254,Marble Launched,9,10
2015-01-04 21:55:19.403317,Marble Launched,10,10
2015-01-04 21:55:24.839735,Marble launched,Single,1,1
2015-01-04 21:55:57.395123,App Started
2015-01-04 21:55:58.066121,Marble launched,Single,1,1
2015-01-04 22:00:25.000469,App Started
2015-01-04 22:00:26.459512,Marble Launched,Multiple,1,10
2015-01-04 22:00:28.142175,Marble Launched,Multiple,2,10
2015-01-04 22:00:29.824968,Marble Launched,Multiple,3,10
2015-01-04 22:00:31.507064,Marble Launched,Multiple,4,10
2015-01-04 22:00:33.185247,Marble Launched,Multiple,5,10
2015-01-04 22:00:34.869957,Marble Launched,Multiple,6,10
2015-01-04 22:00:36.550855,Marble Launched,Multiple,7,10
2015-01-04 22:00:38.236967,Marble Launched,Multiple,8,10
2015-01-04 22:00:39.918820,Marble Launched,Multiple,9,10
2015-01-04 22:00:41.601528,Marble Launched,Multiple,10,10
2015-01-04 22:01:42.741143,App Started
2015-01-04 22:01:57.580838,Marble launched,Single,1,1
2015-01-04 22:07:57.065600,App Started
2015-01-04 22:07:57.540595,App Started
2015-01-04 22:08:02.539497,Marble launched,Single,1,1
2015-01-04 22:08:27.510182,App Started
2015-01-04 22:08:29.346253,Marble launched,Single,1,1
2015-01-04 22:13:05.384991,App Started
2015-01-04 22:13:05.751809,App Started
2015-01-04 22:13:08.597479,Marble launched,Single,1,1
2015-01-04 22:22:12.458887,App Started
2015-01-04 22:22:13.059318,App Started
2015-01-04 22:22:20.463246,Marble launched,Single,1,1
2015-01-04 22:22:53.429180,App Started
2015-01-04 22:28:32.816957,App Started
2015-01-04 22:28:33.341145,App Started
2015-01-04 22:32:04.660068,App Started
2015-01-04 22:33:32.280097,App Started
2015-01-04 22:33:53.970955,App Started
2015-01-04 22:34:20.456023,App Started
2015-01-04 22:35:09.521313,App Started
2015-01-04 22:35:27.036502,App Started
2015-01-04 22:36:34.668332,App Started
2015-01-04 22:36:34.835302,App Started
2015-01-04 22:38:52.077289,App Started
2015-01-04 22:39:18.523751,App Started
2015-01-04 22:40:21.684896,App Started
2015-01-04 22:43:18.258200,App Started
2015-01-04 22:47:21.325812,App Started
2015-01-04 22:49:33.405604,App Started
2015-01-04 22:49:33.879542,App Started
2015-01-04 22:52:37.434179,App Started
2015-01-04 22:54:29.333389,App Started
2015-01-04 22:55:03.157245,App Started
2015-01-04 22:56:04.953309,App Started
2015-01-04 22:56:24.202598,App Started
